id	lifeForm	habitat
12		
13		
14		
15		
16		
17		
18		
21		
22		
23		
24		
25		
26		
27		
33		
34		
35		
36		
37		
38		
39		
40		
41		
42		
43		
44		
46		
47		
48		
49		
50		
51		
52		
53		
54		
55		
56		
57		
58		
59		
60		
62		
63		
64		
65		
66		
68		
69		
70		
71		
72		
73		
74		
78		
79		
80		
81		
82		
83		
84		
85		
86		
88		
89		
90		
91		
92		
93		
95		
96		
98		
99		
100		
101		
102		
103		
104		
105		
106		
107		
108		
109		
110		
111		
112		
113		
115		
116		
117		
118		
119		
120		
121		
123		
125		
126		
127		
129		
130		
131		
132		
133		
134		
135		
136		
137		
138		
139		
140		
142		
143		
144		
145		
146		
147		
148		
150		
151		
152		
153		
154		
155		
156		
157		
158		
159		
160		
161		
162		
163		
164		
165		
166		
167		
168		
169		
170		
171		
172		
173		
174		
175		
176		
177		
178		
179		
180		
181		
182		
183		
184		
185		
186		
187		
188		
189		
190		
191		
192		
193		
194		
195		
196		
197		
198		
199		
200		
201		
202		
203		
204		
205		
206		
207		
208		
209		
210		
211		
212		
213		
214		
215		
216		
217		
218		
219		
220		
221		
222		
223		
224		
225		
226		
227		
228		
229		
230		
231		
232		
233		
234		
236		
237		
999		
1000		
1001		
1002		
1003		
1007		
1008	{"lifeForm":["Arbusto"],"habitat":["Terrícola"],"vegetationType":["Carrasco","Floresta Estacional Decidual"]}	
1009		
1010	{"lifeForm":["Árvore"],"habitat":["Terrícola"],"vegetationType":["Floresta de Terra Firme"]}	
1014		
1016		
1017	{"lifeForm":["Árvore"],"habitat":["Terrícola"],"vegetationType":["Floresta de Terra Firme","Floresta Ombrófila (= Floresta Pluvial)"]}	
1018		
1019		
1020		
1021	{"lifeForm":["Árvore"],"habitat":["Terrícola"],"vegetationType":["Floresta de Terra Firme","Floresta Ombrófila (= Floresta Pluvial)"]}	
1022		
1023	{"lifeForm":["Arbusto"],"habitat":["Terrícola"],"vegetationType":["Campo Limpo","Cerrado (lato sensu)"]}	
1024		
1025	{"lifeForm":["Árvore"],"habitat":["Terrícola"],"vegetationType":["Floresta de Terra Firme"]}	
1026		
1027		
1028		
1029		
1031		
1033		
1034		
1035	{"lifeForm":["Arbusto","Árvore"],"habitat":["Terrícola"],"vegetationType":["Floresta de Terra Firme","Floresta Ombrófila (= Floresta Pluvial)"]}	
1036	{"lifeForm":["Arbusto","Árvore"],"habitat":["Terrícola"],"vegetationType":["Floresta de Terra Firme","Floresta de Várzea","Floresta Ombrófila (= Floresta Pluvial)"]}	
1037		
1038	{"lifeForm":["Arbusto","Árvore"],"habitat":["Terrícola"],"vegetationType":["Floresta de Terra Firme","Floresta de Várzea","Floresta Ombrófila (= Floresta Pluvial)"]}	
1039		
1040		
1041		
1042	{"lifeForm":["Arbusto","Árvore"],"habitat":["Terrícola"],"vegetationType":["Floresta de Terra Firme","Floresta de Várzea","Floresta Ombrófila (= Floresta Pluvial)"]}	
1043		
1044		
1045		
1046		
1048	{"lifeForm":["Árvore"],"habitat":["Terrícola"],"vegetationType":["Floresta de Terra Firme","Floresta Ombrófila (= Floresta Pluvial)"]}	
1049	{"lifeForm":["Arbusto","Árvore"],"habitat":["Terrícola"],"vegetationType":["Floresta de Terra Firme","Floresta Ombrófila (= Floresta Pluvial)"]}	
1050		
1051		
1052	{"lifeForm":["Arbusto"],"habitat":["Terrícola"],"vegetationType":["Área Antrópica"]}	
1053		
1054		
1055		
1057		
1061		
1062		
1063		
